date,opponent,starter,yards,yards_against,points,points_against
9/10/16,Western Kentucky,Jalen,475,229,38,10
9/17/16,Ole Miss,Jalen,492,522,48,43
9/24/16,Kent State,Jalen,502,166,48,0
10/1/16,Kentucky,Jalen,488,161,34,6
10/8/16,Arkansas,Jalen,517,473,49,30
10/15/16,Tennessee,Jalen,594,163,49,10
10/22/16,Texas A&M,Jalen,455,328,33,14
11/5/16,LSU,Jalen,323,125,10,0
11/12/16,Mississippi State,Jalen,615,274,51,3
11/19/16,Chattanooga,Jalen,332,184,31,3
11/26/16,Auburn,Jalen,501,182,30,12
12/3/16,Florida,Jalen,372,261,54,16
12/31/16,Washington,Jalen,326,194,24,7
1/9/17,Clemson,Jalen,376,511,31,35
9/2/17,Florida State,Jalen,269,250,24,7
9/9/17,Fresno State,Jalen,497,273,41,10
9/16/17,Colorado State,Jalen,487,391,41,23
9/23/17,Vanderbilt,Jalen,677,78,59,0
9/30/17,Ole Miss,Jalen,613,253,66,3
10/7/17,Texas A&M,Jalen,355,237,27,19
10/14/17,Arkansas,Jalen,496,227,41,9
10/21/17,Tennessee,Jalen,604,108,45,7
11/4/17,LSU,Jalen,299,306,24,10
11/11/17,Mississippi State,Jalen,444,330,31,24
11/18/17,Mercer,Jalen,530,161,56,0
11/25/17,Auburn,Jalen,314,408,14,26
1/1/18,Clemson,Jalen,253,154,24,6
1/8/18,Georgia,Jalen,371,365,26,23
9/1/18,Louisville,Tua,519,268,51,14
9/8/18,Arkansas State,Tua,599,391,57,7
9/15/18,Ole Miss,Tua,516,248,62,7
9/22/18,Texas A&M,Tua,524,393,45,23
9/29/18,Louisiana,Tua,608,288,56,14
10/6/18,Arkansas,Tua,639,405,65,31
10/13/18,Missouri,Tua,564,212,39,10
