"Year","CrudeOilConsumption","TempChange"
1981,5861058,1.1
1982,5582938,-0.67
1983,5559364,-0.14
1984,5755575,-0.04
1985,5740143,-0.72
1986,5942429,1.3
1987,6082742,1.31
1988,6325692,0.61
1989,6323681,-0.18
1990,6200801,1.49
1991,6100550,1.14
1992,6234025,0.58
1993,6291407,-0.76
1994,6467128,0.85
1995,6469475,0.63
1996,6701059,-0.13
1997,6796411,0.18
1998,6904756,2.21
1999,7124558,1.86
2000,7210594,1.25
2001,7171777,1.68
2002,7212876,1.19
2003,7312229,1.24
2004,7587601,1.08
2005,7592789,1.62
2006,7550907,2.23
2007,7548338,1.63
2008,7136255,0.27
2009,6851561,0.37
2010,7000745,0.96
2011,6893644,1.16
2012,6766117,3.26
2013,6922907,0.41
2014,6971530,0.52
2015,7129732,2.38
