pitcher,prek9,postk9
  jake westbrook,4.64,5.68
  joe nathan,9.84,10.91
  joba chamberlain,7.61,8.64
  Paul byrd,4.53,4.49
  Rod beck,5.11,8.15
  John tudor,4.4,3.87
  Homer Bailey,8.57,6.63
  Patrick Corbin,7.23,7.57
  Tim Collins,8.78,8.34
  Neal Cotts,7.36,10.26
  Matt Moore,8.88,8.08
  Charlie Morton,6.67,7.21
  Josh Tomlin,5.3,8.13
  Danys Baez,6.35,5.02
  Eric Gagne,14.98,8.83
  John Farrell,5.71,4.47
  Matt Harvey,10.62,7.38
  Ivan Nova,8.08,7.06
  Brian Wilson,11.21,10.06
  Bill Bray,8.79,8.19
